Well,Sample,MOI,SPO1_copy_ul,Bacillus_copy_ul,Rep
B03,A1_MOI_1pg,10,7595.511719,6334.319824,1
B04,B1_MOI_1pg,1,1022.439026,6516.870117,1
B05,C1_MOI_1pg,0.1,280.4892273,8563.94043,1
B06,D1_MOI_1pg,0.01,4459.016113,,1
B07,E1_MOI_1pg,0.001,12.20320892,,1
B08,F1_MOI_1pg,0.0001,,5719.929199,1
B09,G1_MOI_1pg,0.00001,6.238594532,,1
C03,A2_MOI_1pg,10,,4637.232422,2
C04,B2_MOI_1pg,1,1701.093018,3472.849609,2
C05,C2_MOI_1pg,0.1,6281.156738,6171.708496,2
C06,D2_MOI_1pg,0.01,83.7588501,,2
C07,E2_MOI_1pg,0.001,14.80993843,10025.03223,2
C08,F2_MOI_1pg,0.0001,1136.350586,,2
C09,G2_MOI_1pg,0.00001,15.67523003,,2
D03,A3_MOI_1pg,10,,5825.790039,3
D04,B3_MOI_1pg,1,482.6241455,7025.908691,3
D05,C3_MOI_1pg,0.1,0.229275301,0.573266625,3
D06,D3_MOI_1pg,0.01,4392.900391,,3
D07,E3_MOI_1pg,0.001,1224.292114,,3
D08,F3_MOI_1pg,0.0001,842.9379883,7958.818848,3
D09,G3_MOI_1pg,0.00001,3.120714903,8929.507813,3
E03,A1_MOI_1pg,10,7947.372559,6371.570313,1
E04,B1_MOI_1pg,1,943.4828491,6691.762207,1
E05,C1_MOI_1pg,0.1,208.0174103,7556.433105,1
E06,D1_MOI_1pg,0.01,5706.33252,,1
E07,E1_MOI_1pg,0.001,10.61641407,11678.40723,1
E08,F1_MOI_1pg,0.0001,,6585.074707,1
E09,G1_MOI_1pg,0.00001,8.776485443,,1
F03,A2_MOI_1pg,10,,6116.644531,2
F04,B2_MOI_1pg,1,1898.457886,4070.177002,2
F05,C2_MOI_1pg,0.1,7388.564453,7853.654785,2
F06,D2_MOI_1pg,0.01,90.63872528,,2
F07,E2_MOI_1pg,0.001,15.10056114,8129.250488,2
F08,F2_MOI_1pg,0.0001,1161.314331,11123.37891,2
F09,G2_MOI_1pg,0.00001,16.29400635,,2
G03,A3_MOI_1pg,10,,5865.376465,3
G04,B3_MOI_1pg,1,457.4615479,7181.704102,3
G05,C3_MOI_1pg,0.1,,0.494563967,3
G06,D3_MOI_1pg,0.01,4245.02002,,3
G07,E3_MOI_1pg,0.001,1444.415771,,3
G08,F3_MOI_1pg,0.0001,879.5166626,8149.864258,3
G09,G3_MOI_1pg,0.00001,2.843011856,8949.792969,3